Time_s,Current_A,Temperature_K,State_x
3.600733484985620070e+00,1.825727813411504030e-04,3.000109327965026864e+02,2.258842736482620239e-01
3.727593720314938075e+00,1.827148807933554053e-04,3.000112576878444770e+02,2.267058938741683960e-01
3.858923467029903076e+00,1.829090761020779610e-04,3.000115902689678933e+02,2.275504320859909058e-01
3.994880193954170267e+00,1.830705150496214628e-04,3.000119304848250295e+02,2.284183055162429810e-01
4.135626917817705639e+00,1.832890702644363046e-04,3.000122785138829045e+02,2.293099462985992432e-01
4.281332398719391641e+00,1.834465947467833757e-04,3.000126341926920190e+02,2.302257269620895386e-01
4.432171342476085130e+00,1.836332812672480941e-04,3.000129976008676067e+02,2.311660647392272949e-01
4.588324610100844581e+00,1.838466560002416372e-04,3.000133688042044469e+02,2.321313321590423584e-01
4.749979434661412370e+00,1.840575569076463580e-04,3.000137477668760653e+02,2.331218868494033813e-01
4.917329645779015657e+00,1.842561614466831088e-04,3.000141344038574971e+02,2.341380864381790161e-01
5.090575902036681200e+00,1.844910293584689498e-04,3.000145287782052037e+02,2.351802587509155273e-01
5.269925931575656364e+00,1.846443919930607080e-04,3.000149305240683475e+02,2.362487018108367920e-01
5.455594781168514373e+00,1.848980755312368274e-04,3.000153399070051137e+02,2.373437136411666870e-01
5.647805074067552056e+00,1.851271226769313216e-04,3.000157567249727322e+02,2.384655475616455078e-01
5.846787276937589262e+00,1.853683497756719589e-04,3.000161808942398238e+02,2.396144568920135498e-01
6.052779976193349398e+00,1.855988230090588331e-04,3.000166122196823721e+02,2.407906204462051392e-01
6.266030164072655673e+00,1.858517643995583057e-04,3.000170506222590348e+02,2.419942319393157959e-01
6.486793534788508175e+00,1.861088239820674062e-04,3.000174959272007982e+02,2.432254105806350708e-01
6.715334791115141755e+00,1.863492507254704833e-04,3.000179478429200230e+02,2.444842606782913208e-01
6.951927961775605347e+00,1.865881495177745819e-04,3.000184061188517717e+02,2.457708567380905151e-01
7.196856730011513825e+00,1.868990220827981830e-04,3.000188708389952126e+02,2.470851987600326538e-01
7.450414773728909701e+00,1.871671993285417557e-04,3.000193415086715163e+02,2.484272420406341553e-01
7.712906117627992053e+00,1.874562294688075781e-04,3.000198179235629823e+02,2.497969418764114380e-01
7.984645497739086828e+00,1.877140748547390103e-04,3.000202995786633551e+02,2.511941194534301758e-01
8.265958738801812089e+00,1.880386844277381897e-04,3.000207864800719904e+02,2.526186108589172363e-01
8.557183144940001540e+00,1.883462391560897231e-04,3.000212781474734811e+02,2.540701627731323242e-01
8.858667904100823165e+00,1.885992242023348808e-04,3.000217738395905940e+02,2.555484473705291748e-01
9.170774506742930043e+00,1.889239938464015722e-04,3.000222735521980439e+02,2.570531070232391357e-01
9.493877179275820311e+00,1.892790169222280383e-04,3.000227770188982959e+02,2.585836946964263916e-01
9.828363332770020833e+00,1.895804889500141144e-04,3.000232834001249103e+02,2.601396739482879639e-01
1.017463402747606338e+01,1.899162307381629944e-04,3.000237924127143287e+02,2.617204487323760986e-01
1.053310445370937032e+01,1.903011579997837543e-04,3.000243038718260777e+02,2.633253633975982666e-01
1.090420442967752734e+01,1.906080869957804680e-04,3.000248166483310683e+02,2.649536430835723877e-01
1.128837891684688266e+01,1.909564598463475704e-04,3.000253304680171595e+02,2.666044235229492188e-01
1.168608855346650977e+01,1.913153682835400105e-04,3.000258448102060811e+02,2.682768404483795166e-01
1.209781020688901343e+01,1.916600740514695644e-04,3.000263589354586884e+02,2.699698209762573242e-01
1.252403754535071911e+01,1.920080540003255010e-04,3.000268722272045352e+02,2.716822922229766846e-01
1.296528162989667621e+01,1.923582603922113776e-04,3.000273840449655154e+02,2.734130322933197021e-01
1.342207152716011898e+01,1.927531848195940256e-04,3.000278941236066998e+02,2.751607596874237061e-01
1.389495494373137419e+01,1.931318547576665878e-04,3.000284016337859043e+02,2.769241034984588623e-01
1.438449888287662937e+01,1.934953470481559634e-04,3.000289057385057276e+02,2.787015438079833984e-01
1.489129032439408640e+01,1.938780187629163265e-04,3.000294059348293558e+02,2.804915308952331543e-01
1.541593692842271857e+01,1.942400122061371803e-04,3.000299013097001080e+02,2.822923362255096436e-01
1.595906776404730998e+01,1.946563861565664411e-04,3.000303917550812116e+02,2.841022014617919922e-01
1.652133406357368628e+01,1.950417790794745088e-04,3.000308762375021843e+02,2.859192788600921631e-01
1.710341000337839645e+01,1.954578765435144305e-04,3.000313544325496196e+02,2.877416014671325684e-01
1.770599351226897866e+01,1.958605716936290264e-04,3.000318255131620049e+02,2.895670831203460693e-01
1.832980710832435634e+01,1.962416281457990408e-04,3.000322885582958179e+02,2.913936376571655273e-01
1.897559876521850342e+01,1.965855772141367197e-04,3.000327424566523860e+02,2.932190597057342529e-01
1.964414280906626686e+01,1.970141311176121235e-04,3.000331877316930331e+02,2.950410246849060059e-01
2.033624084686672262e+01,1.974049228010699153e-04,3.000336232864891031e+02,2.968572080135345459e-01
2.105272272765706987e+01,1.978093787329271436e-04,3.000340487756491257e+02,2.986651659011840820e-01
2.179444753752983388e+01,1.981545065063983202e-04,3.000344628157579336e+02,3.004623651504516602e-01
2.256230462970632900e+01,1.985896524274721742e-04,3.000348663334693242e+02,3.022463321685791016e-01
2.335721469090121261e+01,1.989505253732204437e-04,3.000352577290281602e+02,3.040144443511962891e-01
2.418013084525720657e+01,1.993320911424234509e-04,3.000356369855074945e+02,3.057641983032226562e-01
2.503203979717325467e+01,1.997128711082041264e-04,3.000360037824643769e+02,3.074929118156433105e-01
2.591396301439657179e+01,2.000719250645488501e-04,3.000363574868146657e+02,3.091980516910552979e-01
2.682695795279724749e+01,2.004653797484934330e-04,3.000366985442119017e+02,3.108769655227661133e-01
2.777211932429355201e+01,2.008253941312432289e-04,3.000370261876729501e+02,3.125270903110504150e-01
2.875058040944877291e+01,2.011240721913054585e-04,3.000373391608545148e+02,3.141458332538604736e-01
2.976351441631316064e+01,2.015315112657845020e-04,3.000376397126971142e+02,3.157308399677276611e-01
3.081213588714002327e+01,2.018634841078892350e-04,3.000379262992803433e+02,3.172796368598937988e-01
3.189770215466321446e+01,2.021829131990671158e-04,3.000381988071740125e+02,3.187898695468902588e-01
3.302151484968175765e+01,2.025017747655510902e-04,3.000384574580352250e+02,3.202593624591827393e-01
3.418492146175927360e+01,2.028010057983919978e-04,3.000387020925606976e+02,3.216859996318817139e-01
3.538931695490988005e+01,2.031084877671673894e-04,3.000389332889208731e+02,3.230678439140319824e-01
3.663614544020715869e+01,2.034367789747193456e-04,3.000391519909752560e+02,3.244030773639678955e-01
3.792690190732245981e+01,2.037282101809978485e-04,3.000393576925166030e+02,3.256899416446685791e-01
3.926313401706835293e+01,2.039600221905857325e-04,3.000395493498810993e+02,3.269270658493041992e-01
4.064644395709628100e+01,2.042979031102731824e-04,3.000397305954018634e+02,3.281131088733673096e-01
4.207849036297402989e+01,2.044865250354632735e-04,3.000398976736315717e+02,3.292470276355743408e-01
4.356099030694608132e+01,2.048000751528888941e-04,3.000400551657380106e+02,3.303279578685760498e-01
4.509572135676144455e+01,2.049914473900571465e-04,3.000401999098667716e+02,3.313552439212799072e-01
4.668452370703789711e+01,2.052814961643889546e-04,3.000403359732105173e+02,3.323285281658172607e-01
4.832930238571751858e+01,2.054046490229666233e-04,3.000404585020827426e+02,3.332476019859313965e-01
5.003202953825999089e+01,2.056209777947515249e-04,3.000405718515184503e+02,3.341125249862670898e-01
5.179474679231207546e+01,2.058199752354994416e-04,3.000406762296799457e+02,3.349237143993377686e-01
5.361956770568816921e+01,2.060082915704697371e-04,3.000407721109959311e+02,3.356817662715911865e-01
5.550868030059805136e+01,2.061747945845127106e-04,3.000408595481796397e+02,3.363873064517974854e-01
5.746434968715973923e+01,2.062912244582548738e-04,3.000409375200750333e+02,3.370415866374969482e-01
5.948892077934331013e+01,2.064417640212923288e-04,3.000410085486552134e+02,3.376457691192626953e-01
6.158482110660260389e+01,2.065645239781588316e-04,3.000410723386686414e+02,3.382011353969573975e-01
6.375456372456506671e+01,2.066926244879141450e-04,3.000411300942291746e+02,3.387095332145690918e-01
6.600075022827088844e+01,2.068128524115309119e-04,3.000411823127313937e+02,3.391727209091186523e-01
6.832607387157398193e+01,2.069314941763877869e-04,3.000412297461024309e+02,3.395928740501403809e-01
7.073332279644438358e+01,2.069707988994196057e-04,3.000412693245672813e+02,3.399721384048461914e-01
7.322538337604532899e+01,2.070682676276192069e-04,3.000413052922179986e+02,3.403121829032897949e-01
7.580524367559260668e+01,2.071605267701670527e-04,3.000413380082355275e+02,3.406160175800323486e-01
7.847599703514606517e+01,2.071974158752709627e-04,3.000413651096890817e+02,3.408857285976409912e-01
8.124084577862966228e+01,2.072290226351469755e-04,3.000413874205912066e+02,3.411238789558410645e-01
8.410310505352605048e+01,2.073304349323734641e-04,3.000414099369531300e+02,3.413325846195220947e-01
8.706620680585118066e+01,2.072917995974421501e-04,3.000414242851707627e+02,3.415147066116333008e-01
9.013370389517429260e+01,2.073696232400834560e-04,3.000414395120659492e+02,3.416725397109985352e-01
9.330927435461663322e+01,2.074420044664293528e-04,3.000414550370575171e+02,3.418080806732177734e-01
9.659672580093833005e+01,2.074353542411699891e-04,3.000414655680106648e+02,3.419238626956939697e-01
1.000000000000000000e+02,2.074671501759439707e-04,3.000414750502216066e+02,3.420217037200927734e-01
1.035231775930737825e+02,2.075180673273280263e-04,3.000414851135597019e+02,3.421044051647186279e-01
1.071704829896709299e+02,2.075348311336711049e-04,3.000414930838947498e+02,3.421730399131774902e-01
1.109462894327521809e+02,2.075101510854437947e-04,3.000414964618528870e+02,3.422297537326812744e-01
1.148551242423936856e+02,2.075175143545493484e-04,3.000414992140705408e+02,3.422766327857971191e-01
1.189016742441989862e+02,2.075340744340792298e-04,3.000415022897788617e+02,3.423143923282623291e-01
1.230907913889601843e+02,2.075542433885857463e-04,3.000415058752018354e+02,3.423447310924530029e-01
1.274274985703132188e+02,2.075740339932963252e-04,3.000415097485738443e+02,3.423689603805541992e-01
1.319169956473571688e+02,2.075862430501729250e-04,3.000415131157129167e+02,3.423883318901062012e-01
1.365646656794609726e+02,2.076028322335332632e-04,3.000415165785681211e+02,3.424030840396881104e-01
1.413760813807361387e+02,2.075622469419613481e-04,3.000415145918481130e+02,3.424145579338073730e-01
1.463570118019079871e+02,2.075745142064988613e-04,3.000415147467516590e+02,3.424233198165893555e-01
1.515134292476051314e+02,2.076183882309123874e-04,3.000415193518936690e+02,3.424298167228698730e-01
1.568515164373547748e+02,2.075547672575339675e-04,3.000415148687320084e+02,3.424342274665832520e-01
1.623776739188720910e+02,2.075666270684450865e-04,3.000415140158700069e+02,3.424376845359802246e-01
