cycle,T_K,I_on_A,I_off_A,Rwin_Ion_over_Ioff,tau_s,retention_drop_frac_at_tobs
5.000000000000000000e+00,3.000000000000000000e+02,2.957447527057214046e-03,1.274702520036829741e-04,2.320108009962799045e+01,3.000000000000000000e+06,4.575725881790104754e-02
5.000000000000000000e+00,3.250000000000000000e+02,3.227883225902533626e-03,1.391264204960134660e-04,2.320108009962799045e+01,7.863364131961344974e+05,1.446954299318927717e-01
5.000000000000000000e+00,3.500000000000000000e+02,3.523048177436480851e-03,1.518484554300111953e-04,2.320108009962799045e+01,2.495564427446389454e+05,3.553736843032748727e-01
5.000000000000000000e+00,3.750000000000000000e+02,3.845203680522886469e-03,1.657338220466960613e-04,2.320108009962799045e+01,9.229704549441397830e+04,6.586367856808932331e-01
6.000000000000000000e+00,2.500000000000000000e+02,2.475566927794700667e-03,1.075453079284162465e-04,2.301882783619416273e+01,9.751124699375864863e+07,2.038954951701144047e-03
6.000000000000000000e+00,2.750000000000000000e+02,2.701938373452329040e-03,1.173794944156051386e-04,2.301882783619416273e+01,1.460036572372009978e+07,1.121054822539313545e-02
6.000000000000000000e+00,3.000000000000000000e+02,2.949009736706116082e-03,1.281129411841368888e-04,2.301882783619416628e+01,3.000000000000000000e+06,4.575725881790104754e-02
6.000000000000000000e+00,3.250000000000000000e+02,3.218673864894836326e-03,1.398278786304610593e-04,2.301882783619416628e+01,7.863364131961344974e+05,1.446954299318927717e-01
6.000000000000000000e+00,3.500000000000000000e+02,3.512996691604167165e-03,1.526140564846846319e-04,2.301882783619416628e+01,2.495564427446389454e+05,3.553736843032748727e-01
6.000000000000000000e+00,3.750000000000000000e+02,3.834233064065049965e-03,1.665694313954687287e-04,2.301882783619416628e+01,9.229704549441397830e+04,6.586367856808932331e-01
7.000000000000000000e+00,2.500000000000000000e+02,2.468503974168055181e-03,1.080126526999857563e-04,2.285384084607692046e+01,9.751124699375864863e+07,2.038954951701144047e-03
7.000000000000000000e+00,2.750000000000000000e+02,2.694229567352407484e-03,1.178895742513625490e-04,2.285384084607692046e+01,1.460036572372009978e+07,1.121054822539313545e-02
7.000000000000000000e+00,3.000000000000000000e+02,2.940596019920265706e-03,1.286696638751226379e-04,2.285384084607692046e+01,3.000000000000000000e+06,4.575725881790104754e-02
7.000000000000000000e+00,3.250000000000000000e+02,3.209490778793706346e-03,1.404355093049773216e-04,2.285384084607692046e+01,7.863364131961344974e+05,1.446954299318927717e-01
7.000000000000000000e+00,3.500000000000000000e+02,3.502973883315374775e-03,1.532772502840236526e-04,2.285384084607692046e+01,2.495564427446389454e+05,3.553736843032748727e-01
7.000000000000000000e+00,3.750000000000000000e+02,3.823293747490253032e-03,1.672932691375838274e-04,2.285384084607692046e+01,9.229704549441397830e+04,6.586367856808932331e-01
8.000000000000000000e+00,2.500000000000000000e+02,2.461461171607968144e-03,1.084248800033314530e-04,2.270199581066944816e+01,9.751124699375864863e+07,2.038954951701144047e-03
8.000000000000000000e+00,2.750000000000000000e+02,2.686542754978201147e-03,1.183394965527913908e-04,2.270199581066944461e+01,1.460036572372009978e+07,1.121054822539313545e-02
8.000000000000000000e+00,3.000000000000000000e+02,2.932206308016214232e-03,1.291607280906175174e-04,2.270199581066944461e+01,3.000000000000000000e+06,4.575725881790104754e-02
8.000000000000000000e+00,3.250000000000000000e+02,3.200333892635124321e-03,1.409714775443239522e-04,2.270199581066944816e+01,7.863364131961344974e+05,1.446954299318927717e-01
8.000000000000000000e+00,3.500000000000000000e+02,3.492979670751206103e-03,1.538622286728456314e-04,2.270199581066944816e+01,2.495564427446389454e+05,3.553736843032748727e-01
8.000000000000000000e+00,3.750000000000000000e+02,3.812385641497892299e-03,1.679317392749298898e-04,2.270199581066944816e+01,9.229704549441397830e+04,6.586367856808932331e-01
9.000000000000000000e+00,2.500000000000000000e+02,2.454438462622134803e-03,1.087936298916892771e-04,2.256049793600671904e+01,9.751124699375864863e+07,2.038954951701144047e-03
9.000000000000000000e+00,2.750000000000000000e+02,2.678877873580179630e-03,1.187419657659537339e-04,2.256049793600671904e+01,1.460036572372009978e+07,1.121054822539313545e-02
9.000000000000000000e+00,3.000000000000000000e+02,2.923840532506470809e-03,1.296000000000000060e-04,2.256049793600671904e+01,3.000000000000000000e+06,4.575725881790104754e-02
9.000000000000000000e+00,3.250000000000000000e+02,3.191203131668948409e-03,1.414509174718065582e-04,2.256049793600671904e+01,7.863364131961344974e+05,1.446954299318927717e-01
9.000000000000000000e+00,3.500000000000000000e+02,3.483013972326195768e-03,1.543855096729616243e-04,2.256049793600671549e+01,2.495564427446389454e+05,3.553736843032748727e-01
9.000000000000000000e+00,3.750000000000000000e+02,3.801508657042143666e-03,1.685028702746364608e-04,2.256049793600671904e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.000000000000000000e+01,2.500000000000000000e+02,2.447435789882279351e-03,1.091272047412690646e-04,2.242736626201443428e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.000000000000000000e+01,2.750000000000000000e+02,2.671234860587839034e-03,1.191060434551403051e-04,2.242736626201443784e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.000000000000000000e+01,3.000000000000000000e+02,2.915498625098943402e-03,1.299973697775189574e-04,2.242736626201443428e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.000000000000000000e+01,3.250000000000000000e+02,3.182098421358303241e-03,1.418846236416030390e-04,2.242736626201443073e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.000000000000000000e+01,3.500000000000000000e+02,3.473076706687647924e-03,1.548588749170271602e-04,2.242736626201443073e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.000000000000000000e+01,3.750000000000000000e+02,3.790662705331235890e-03,1.690195211085279540e-04,2.242736626201443073e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.100000000000000000e+01,2.500000000000000000e+02,2.440453096223687418e-03,1.094317347196054302e-04,2.230114602931962864e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.100000000000000000e+01,2.750000000000000000e+02,2.663613653609194117e-03,1.194384203442865224e-04,2.230114602931962864e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.100000000000000000e+01,3.000000000000000000e+02,2.907180517696382818e-03,1.303601399620572083e-04,2.230114602931962509e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.100000000000000000e+01,3.250000000000000000e+02,3.173019687378972765e-03,1.422805663532878621e-04,2.230114602931962153e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.100000000000000000e+01,3.500000000000000000e+02,3.463167792714972725e-03,1.552910235268581158e-04,2.230114602931962864e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.100000000000000000e+01,3.750000000000000000e+02,3.779847697826728501e-03,1.694911863658177102e-04,2.230114602931962509e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.200000000000000000e+01,2.500000000000000000e+02,2.433490324644739869e-03,1.097118751435032316e-04,2.218073769554783681e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.200000000000000000e+01,2.750000000000000000e+02,2.656014190430268287e-03,1.197441774429075463e-04,2.218073769554783681e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.200000000000000000e+01,3.000000000000000000e+02,2.898886142395825424e-03,1.306938561821456384e-04,2.218073769554783681e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.200000000000000000e+01,3.250000000000000000e+02,3.163966855618792658e-03,1.426447983402225007e-04,2.218073769554783681e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.200000000000000000e+01,3.500000000000000000e+02,3.453287149519020625e-03,1.556885617114606472e-04,2.218073769554783681e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.200000000000000000e+01,3.750000000000000000e+02,3.769063546242785827e-03,1.699250763422228234e-04,2.218073769554783681e+01,9.229704549441397830e+04,6.586367856808932331e-01
1.300000000000000000e+01,2.500000000000000000e+02,2.426547418306446158e-03,1.099712446643098433e-04,2.206529011937208651e+01,9.751124699375864863e+07,2.038954951701144047e-03
1.300000000000000000e+01,2.750000000000000000e+02,2.648436409014585761e-03,1.200272643000241895e-04,2.206529011937208651e+01,1.460036572372009978e+07,1.121054822539313545e-02
1.300000000000000000e+01,3.000000000000000000e+02,2.890615431488038900e-03,1.310028291425110688e-04,2.206529011937208651e+01,3.000000000000000000e+06,4.575725881790104754e-02
1.300000000000000000e+01,3.250000000000000000e+02,3.154939852177045343e-03,1.429820244877354012e-04,2.206529011937208296e+01,7.863364131961344974e+05,1.446954299318927717e-01
1.300000000000000000e+01,3.500000000000000000e+02,3.443434696441425354e-03,1.560566245815314711e-04,2.206529011937208651e+01,2.495564427446389454e+05,3.553736843032748727e-01
1.300000000000000000e+01,3.750000000000000000e+02,3.758310162545457512e-03,1.703267957145903233e-04,2.206529011937208651e+01,9.229704549441397830e+04,6.586367856808932331e-01
